Action,AttemptsAtTalkingBeforeRegistering,DistanceMoved,DistanceThoughtItMoved,AngleRotated,AngleThoughtItRotated,TDOAPhatWeighting1.0_2k_samples_With_Filter,TDOAPhatWeighting0.9_2k_samples_With_Filter,TDOAPhatWeighting0.8_2k_samples_With_Filter,TDOAPhatWeighting0.7_2k_samples_With_Filter,TDOAPhatWeighting0.6_2k_samples_With_Filter,TDOAPhatWeighting0.5_2k_samples_With_Filter,TDOAPhatWeighting0.4_2k_samples_With_Filter,TDOAPhatWeighting0.3_2k_samples_With_Filter,TDOAPhatWeighting0.2_2k_samples_With_Filter,TDOAPhatWeighting0.1_2k_samples_With_Filter,TDOAPhatWeighting0.0_2k_samples_With_Filter,TDOAPhatWeighting1.0_2k_samples_Without_Filter,TDOAPhatWeighting0.9_2k_samples_Without_Filter,TDOAPhatWeighting0.8_2k_samples_Without_Filter,TDOAPhatWeighting0.7_2k_samples_Without_Filter,TDOAPhatWeighting0.6_2k_samples_Without_Filter,TDOAPhatWeighting0.5_2k_samples_Without_Filter,TDOAPhatWeighting0.4_2k_samples_Without_Filter,TDOAPhatWeighting0.3_2k_samples_Without_Filter,TDOAPhatWeighting0.2_2k_samples_Without_Filter,TDOAPhatWeighting0.1_2k_samples_Without_Filter,TDOAPhatWeighting0.0_2k_samples_Without_Filter,TDOAPhatWeighting1.0_4k_samples_With_Filter,TDOAPhatWeighting0.9_4k_samples_With_Filter,TDOAPhatWeighting0.8_4k_samples_With_Filter,TDOAPhatWeighting0.7_4k_samples_With_Filter,TDOAPhatWeighting0.6_4k_samples_With_Filter,TDOAPhatWeighting0.5_4k_samples_With_Filter,TDOAPhatWeighting0.4_4k_samples_With_Filter,TDOAPhatWeighting0.3_4k_samples_With_Filter,TDOAPhatWeighting0.2_4k_samples_With_Filter,TDOAPhatWeighting0.1_4k_samples_With_Filter,TDOAPhatWeighting0.0_4k_samples_With_Filter,TDOAPhatWeighting1.0_4k_samples_Without_Filter,TDOAPhatWeighting0.9_4k_samples_Without_Filter,TDOAPhatWeighting0.8_4k_samples_Without_Filter,TDOAPhatWeighting0.7_4k_samples_Without_Filter,TDOAPhatWeighting0.6_4k_samples_Without_Filter,TDOAPhatWeighting0.5_4k_samples_Without_Filter,TDOAPhatWeighting0.4_4k_samples_Without_Filter,TDOAPhatWeighting0.3_4k_samples_Without_Filter,TDOAPhatWeighting0.2_4k_samples_Without_Filter,TDOAPhatWeighting0.1_4k_samples_Without_Filter,TDOAPhatWeighting0.0_4k_samples_Without_Filter,TDOAPhatWeighting1.0_8k_samples_With_Filter,TDOAPhatWeighting0.9_8k_samples_With_Filter,TDOAPhatWeighting0.8_8k_samples_With_Filter,TDOAPhatWeighting0.7_8k_samples_With_Filter,TDOAPhatWeighting0.6_8k_samples_With_Filter,TDOAPhatWeighting0.5_8k_samples_With_Filter,TDOAPhatWeighting0.4_8k_samples_With_Filter,TDOAPhatWeighting0.3_8k_samples_With_Filter,TDOAPhatWeighting0.2_8k_samples_With_Filter,TDOAPhatWeighting0.1_8k_samples_With_Filter,TDOAPhatWeighting0.0_8k_samples_With_Filter,TDOAPhatWeighting1.0_8k_samples_Without_Filter,TDOAPhatWeighting0.9_8k_samples_Without_Filter,TDOAPhatWeighting0.8_8k_samples_Without_Filter,TDOAPhatWeighting0.7_8k_samples_Without_Filter,TDOAPhatWeighting0.6_8k_samples_Without_Filter,TDOAPhatWeighting0.5_8k_samples_Without_Filter,TDOAPhatWeighting0.4_8k_samples_Without_Filter,TDOAPhatWeighting0.3_8k_samples_Without_Filter,TDOAPhatWeighting0.2_8k_samples_Without_Filter,TDOAPhatWeighting0.1_8k_samples_Without_Filter,TDOAPhatWeighting0.0_8k_samples_Without_Filter,ActualTriangulationAngle,ActualTriangulationDistance
"come","1","None","None","None","None","0;-27;-12","0;-12;-12","0;-12;-11","0;-12;-11","0;-12;-11","0;-12;-11","0;-13;-11","0;-13;-10","-1;-14;-10","-1;-14;-10","-1;-14;-10","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-10","0;-12;-10","0;-14;-10","0;-14;-10","0;-14;-10","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-10","0;-12;-10","0;-12;-10","0;-12;-10","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-11;-11","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-12","0;-12;-10","0;-12;-10","0;-12;-10","0;-12;-10","118.5","1.1"
"stop","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"stop","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"come","1","None","None","None","None","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-16;-4;12","-16;-4;12","-16;-4;12","-16;-4;12","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-16;-4;12","-16;-4;12","-16;-4;12","-18;-4;13","-18;-4;13","-18;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-17;-4;13","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","-18;-4;14","129","2.2"
"come","1","None","None","None","None","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-14;0","-14;-14;0","-14;-14;0","-14;-12;0","-14;-12;0","-14;-12;0","-14;-12;0","-14;-12;0","-14;-12;0","-14;-12;0","-14;-12;0","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-28;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-12;0","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-13;1","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","-14;-14;0","177","1.2"
"stop","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"stop","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"come","1","None","None","None","None","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-14","4;-11;-14","4;-11;-14","4;-10;376","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-10;-14","4;-10;-14","4;-10;-14","4;-10;-14","4;-10;-14","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-10;-14","4;-10;-14","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-11;-15","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-12;-14","4;-10;-14","4;-10;-14","4;-10;-14","4;-10;-14","4;-10;-14","4;-10;-14","102","1.4"
"move","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
